動画タイトル	Video ID	歌っている人 (チャンネル名)
【超学生】仮装狂騒曲 @歌ってみた	wQYnPghoZZ4	超学生 (Chogakusei Official)
【にじさんじ】仮装狂騒曲 Covered by ジョー・力一/周央サンゴ/壱百満天原サロメ/セラフ・ダズルガーデン/星導ショウ/栞葉るり #SitR広島	6Vnkg4UrGAM	ジョー・力一、周央サンゴ、壱百満天原サロメ、セラフ・ダズルガーデン、星導ショウ、栞葉るり (ジョー・力一 Joe Rikiichi)
仮装狂騒曲 / covered by しぐれうい&花譜&星街すいせい	FCprxX-V9M8	しぐれうい、花譜、星街すいせい (しぐれうい)
【JK組で歌ってみた！】仮装狂騒曲【月ノ美兎 / 樋口楓 / 静凛】	5jmyZxT35TI	月ノ美兎、樋口楓、静凛 (月ノ美兎)
【FULL】仮装狂騒曲/初星学園【Covered by 缶缶 × 七海うらら × Hakos Baelz】	VIr-gF2Q27w	缶缶、七海うらら、Hakos Baelz (七海うらら*歌channel)
【学マス】仮装狂騒曲 - 初星学園 ／ 春歌みこと cover 【歌ってみた】	8k-8td04bvs	春歌みこと (春歌みこと Mikoto Haruka【シアーミュージックV】)
FAKE TYPE. "仮装狂騒曲" (Self Cover) MV	VXB6ZBsrhPc	TOPHAMHAT-KYO
初星学園 「仮装狂騒曲」Official Music Video (HATSUBOSHI GAKUEN - Fancy dress party)	8YNzp2vRS9I	倉本千奈、篠澤広、月村手毬
仮装狂騒曲(初星学園) / 歌ってみた by 天月×志麻×となりの坂田。	tls5-b2u6Gg	天月、志麻、となりの坂田
【学マス】仮装狂騒曲 /３人で歌ってみた【ver.花宮莉歌×藍月なくる×ななひら】	lOkGgr7Bk10	花宮莉歌×藍月なくる×ななひら
仮装狂騒曲 / 倉持めると 戌亥とこ フレン・E・ルスタリオ cover	uGHlYIck0CE	倉持めると、戌亥とこ、フレン・E・ルスタリオ
【歌ってみた】仮装狂騒曲 covered by 罪十罰	10CsXB0yMJQ	氷夏至、美古途、夕凪機
